	0.012	0	neg0.012	water-surf
2.3	74.23153693	71.49019608	39.20758483	17.54901961
2.4	6.704590818	10.54901961	13.04590818	17.62745098
2.5	13.99600798	13.90196078	12.46506986	17
2.6	22.51696607	22.23529412	20.28143713	15.23529412
2.7	13.9500998	15.11764706	15.40518962	17.17647059
2.8	13.99800399	14.25490196	14.25149701	15.41176471
2.9	17.06387226	17.52941176	16.21756487	16.1372549
3	16.10978044	15.58823529	15.93612774	15.82352941
3.1	15.27345309	16.21568627	15.28343313	16.23529412
3.2	15.78842315	15.92156863	15.3253493	14.92156863
3.3	15.90818363	15.49019608	15.69660679	15.19607843
3.4	15.8003992	15.41176471	16.03193613	15.7254902
3.5	15.42714571	15.70588235	15.51696607	16.35294118
3.6	15.8502994	16.05882353	15.83632735	15.74509804
3.7	16.08582834	15.76470588	15.63473054	16.2745098
3.8	15.68662675	15.37254902	15.75449102	16.76470588
3.9	15.76247505	16.03921569	15.94211577	15.1372549
4	16.06586826	15.31372549	15.66067864	15.09803922
4.1	15.81636727	15.2745098	15.85429142	15.70588235
4.2	15.98602794	15.66666667	15.61277445	15.82352941
4.3	16.17165669	16.64705882	15.68662675	15.37254902
4.4	15.6247505	14.94117647	15.750499	15.49019608
4.5	15.54491018	16.74509804	15.58483034	16.11764706
4.6	16.22155689	15.09803922	15.99600798	15.39215686
4.7	15.71856287	15.74509804	15.94211577	16.21568627
4.8	15.82035928	15.66666667	15.70658683	16.03921569
4.9	15.77045908	14.98039216	15.98602794	15.70588235
5	15.88023952	16.78431373	16.14570858	16.01960784
5.1	15.90219561	15.78431373	15.53093812	15.21568627
5.2	15.65868263	15.25490196	15.73453094	15.74509804
5.3	15.7744511	16.2745098	15.76846307	16.15686275
5.4	15.88023952	16.33333333	16.32734531	16.03921569
5.5	15.84830339	15.15686275	15.4251497	15.35294118
5.6	15.6007984	16.58823529	15.91017964	15.58823529
5.7	15.70858283	16.60784314	15.86027944	16.11764706
5.8	16.16766467	16.19607843	15.21357285	15.23529412
5.9	15.77045908	15.37254902	15.94011976	15.7254902
6	15.63872255	17.47058824	15.71457086	16.54901961
6.1	16.13772455	15.74509804	15.75648703	16.21568627
6.2	15.95808383	14.96078431	15.74650699	16
6.3	15.72854291	16.35294118	15.81237525	15.94117647
6.4	15.90419162	16.23529412	15.76846307	15.47058824
6.5	16.09181637	16.74509804	16.27145709	16.11764706
6.6	15.74850299	15.90196078	15.79241517	15.47058824
6.7	15.53892216	15.56862745	15.73253493	16.15686275
6.8	16.03393214	16.15686275	15.81237525	15.47058824
6.9	15.69061876	15.60784314	15.7245509	16.33333333
7	16.03792415	14.76470588	15.94810379	16
7.1	15.67065868	16.09803922	15.499002	15.96078431
7.2	15.7005988	14.98039216	15.67864271	15.62745098
7.3	16.08183633	15.96078431	15.93413174	16.07843137
7.4	15.8742515	15.82352941	15.79640719	16.03921569
7.5	15.98602794	16.68627451	16.01197605	15.70588235
7.6	15.70658683	15.49019608	15.9261477	14.09803922
7.7	16.05788423	16.17647059	15.66866267	16.74509804
7.8	15.6506986	16.82352941	15.92015968	16.23529412
7.9	15.55489022	15.56862745	15.94810379	17.09803922
8	15.76047904	15.84313725	15.77045908	15.45098039
8.1	15.81037924	16.25490196	15.93013972	17.29411765
8.2	15.9500998	15.29411765	15.5249501	14.49019608
8.3	15.34331337	16.07843137	15.79041916	16.07843137
