e_per_atom,n_2D,Delta_Phi
-0.012,-4.5608602250742925,-15.505695675511928
-0.01,-3.8007168542285767,-8.577618884325748
-0.008,-3.0405734833828615,-3.409053659155105
-0.006,-2.2804301125371462,0.05981683725582676
-0.005,-1.9003584271142884,0.9693894575194224
-0.004,-1.5202867416914307,3.0404884339844616
-0.003,-1.1402150562685731,2.379755783007769
-0.002,-0.7601433708457154,3.070244216992231
-0.001,-0.3800716854228577,1.8104579068604332
0.0,0.0,0.0
0.001,0.3800716854228577,-2.8592062947752495
0.002,0.7601433708457154,-6.81810731831021
0.003,1.1402150562685731,-7.477924155566037
0.004,1.5202867416914307,-9.677313613085458
0.005,1.9003584271142884,-9.127466248705602
0.006,2.2804301125371462,-11.106916760473084
0.008,3.0405734833828615,-10.667038868969199
0.01,3.8007168542285767,-11.65676412485294
0.012,4.5608602250742925,-10.337130450341286
